sep=,
"Time","live.cecbep1-01","vod.cecbep1-01","live.cecbep1-02","vod.cecbep1-02","live.cecbep1-03","vod.cecbep1-03","live.cecbep1-04","vod.cecbep1-04","live.cecbep1-05","vod.cecbep1-05","live.cecbep1-06","vod.cecbep1-06","live.cecbep1-07","vod.cecbep1-07","live.cecbep1-08","vod.cecbep1-08","live.cecmaz1-01","vod.cecmaz1-01","live.cecmaz1-02","vod.cecmaz1-02","live.cecmaz1-03","vod.cecmaz1-03","live.cecmaz1-04","vod.cecmaz1-04","live.cecmaz1-05","vod.cecmaz1-05","live.cecmaz1-06","vod.cecmaz1-06","live.cecmaz1-07","vod.cecmaz1-07","live.cecmaz1-08","vod.cecmaz1-08","live.cecmsm1-01","vod.cecmsm1-01","live.cecmsm1-02","vod.cecmsm1-02","live.cecmsm1-03","vod.cecmsm1-03","live.cecmsm1-04","vod.cecmsm1-04","live.cecmsm1-05","vod.cecmsm1-05","live.cecmsm1-06","vod.cecmsm1-06","live.cecmsm1-07","vod.cecmsm1-07","live.cecmsm1-08","vod.cecmsm1-08","live.cefsbin3-01","vod.cefsbin3-01","live.cefsbin3-02","vod.cefsbin3-02","live.cefsbin3-03","vod.cefsbin3-03","live.cefsbin3-04","vod.cefsbin3-04","live.cefsbin3-05","vod.cefsbin3-05","live.cefsbin3-06","vod.cefsbin3-06","live.ceihta1-01","vod.ceihta1-01","live.ceihta1-02","vod.ceihta1-02","live.ceihta1-03","vod.ceihta1-03","live.ceihta1-04","vod.ceihta1-04","live.ceihta1-05","vod.ceihta1-05","live.ceihta1-06","vod.ceihta1-06","live.ceihta1-07","vod.ceihta1-07","live.ceihta1-08","vod.ceihta1-08","live.ceihta1-09","vod.ceihta1-09","live.ceihta1-10","vod.ceihta1-10","live.ceihta1-11","vod.ceihta1-11","live.ceihta1-12","vod.ceihta1-12","live.ceihta1-13","vod.ceihta1-13","live.ceihta1-14","vod.ceihta1-14","live.ceihta1-15","vod.ceihta1-15","live.ceihta1-16","vod.ceihta1-16","live.ceihta1-17","vod.ceihta1-17","live.ceihta1-18","vod.ceihta1-18","live.ceihta1-19","vod.ceihta1-19","live.ceihta1-20","vod.ceihta1-20","live.ceimno1-01","vod.ceimno1-01","live.ceimno1-02","vod.ceimno1-02","live.ceimno1-03","vod.ceimno1-03","live.ceimno1-04","vod.ceimno1-04","live.ceimno1-05","vod.ceimno1-05","live.ceimno1-06","vod.ceimno1-06","live.ceimno1-07","vod.ceimno1-07","live.ceimno1-08","vod.ceimno1-08","live.ceimno1-09","vod.ceimno1-09","live.ceimno1-10","vod.ceimno1-10","live.ceimno1-11","vod.ceimno1-11","live.ceimno1-12","vod.ceimno1-12","live.ceimno1-13","vod.ceimno1-13","live.ceimno1-14","vod.ceimno1-14","live.ceimno1-15","vod.ceimno1-15","live.ceimno1-16","vod.ceimno1-16","live.ceimno1-17","vod.ceimno1-17","live.ceimno1-18","vod.ceimno1-18","live.ceimno1-19","vod.ceimno1-19","live.ceimpe1-01","vod.ceimpe1-01","live.ceimpe1-02","vod.ceimpe1-02","live.ceimpe1-03","vod.ceimpe1-03","live.ceimpe1-04","vod.ceimpe1-04","live.ceimpe1-05","vod.ceimpe1-05","live.ceimpe1-06","vod.ceimpe1-06","live.ceimpe1-07","vod.ceimpe1-07","live.ceimpe1-08","vod.ceimpe1-08","live.ceimpe1-09","vod.ceimpe1-09","live.ceimpe1-10","vod.ceimpe1-10","live.ceimpe1-11","vod.ceimpe1-11","live.ceimpe1-12","vod.ceimpe1-12","live.ceimpe1-13","vod.ceimpe1-13","live.ceimpe1-14","vod.ceimpe1-14","live.ceimpe1-15","vod.ceimpe1-15","live.ceimpe1-16","vod.ceimpe1-16","live.ceimsm1-01","vod.ceimsm1-01","live.ceimsm1-02","vod.ceimsm1-02","live.ceimsm1-03","vod.ceimsm1-03","live.ceimsm1-04","vod.ceimsm1-04","live.ceimsm1-05","vod.ceimsm1-05","live.ceimsm1-06","vod.ceimsm1-06","live.ceimsm1-07","vod.ceimsm1-07","live.ceimsm1-08","vod.ceimsm1-08","live.ceimsm1-09","vod.ceimsm1-09","live.ceimsm1-10","vod.ceimsm1-10","live.ceimsm1-11","vod.ceimsm1-11","live.ceimsm1-12","vod.ceimsm1-12","live.ceimsm1-13","vod.ceimsm1-13","live.ceimsm1-14","vod.ceimsm1-14","live.ceimsm1-15","vod.ceimsm1-15","live.ceimsm1-16","vod.ceimsm1-16","live.ceimsm1-17","vod.ceimsm1-17","live.ceimsm1-18","vod.ceimsm1-18","live.codmno1-05","vod.codmno1-05","vod.codmpe1-05"
2025-01-12 20:00:00,3776296,3298030,3892973,3150160,3807039,3156326,3861808,3145742,3897270,3330445,3864332,3121426,3726460,3269429,4001908,2832554,3637988,2753257,3803791,2178683,3732129,2778338,4137660,1714819,3728434,2033918,3742509,1516309,3827527,2752659,3707669,2052878,3975018,2774919,3979598,2325498,3918987,2936377,3917856,2391892,3909334,2224409,4049567,1645197,3973393,1774629,3736190,1915362,4422359,2773361,4327581,3021588,4466607,2705428,4456982,1968377,4308235,2732821,4255545,3107898,4053334,2417615,4133568,2280628,4057394,2160358,4167749,2923417,2476766,1405328,4138494,2934162,4321941,2949296,4059583,1926123,3221687,1722767,4070300,2679401,4361318,2512882,4121195,1634616,4055427,2466361,3922096,1936069,4286324,2349618,4262503,2329405,4195444,1440330,4278341,1914367,4456667,2559221,3921506,2125455,4062835,3112476,4214608,3086006,3938624,3689880,4172920,2945730,4027826,2446054,3890006,2942979,3871345,3185750,4184424,3200699,4098321,3056570,4120321,3397591,4005920,2433178,3937926,3190229,2666667,3000000,4127895,3245608,4113048,3297320,4102132,3233976,4101741,3413689,4231547,2002221,4027212,3380434,4373584,2421343,4612053,2350586,4197234,2771650,3939020,2867445,4175219,3024144,3689955,3287386,4173348,3215654,3982854,3121226,4010368,2930990,3863259,3165443,4142346,2617500,3896204,3255131,4082484,3219259,3837142,2867128,4367937,3048070,3006144,2615397,4053411,3578772,4204389,3660208,4042388,3770603,4055632,3761305,4127734,3807269,4149592,3662025,4209426,3444341,4192558,3883534,4351280,3757852,4318131,3507161,4283298,4154918,4014031,3807106,4132779,3756743,4233672,3464806,4256246,4072827,4142599,3542191,4217065,3981927,3963407,3602201,,8139664,
2025-01-12 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:30,3820329,3233525,3869243,3128410,3795784,3080423,3851721,3205253,3835365,3208276,3800875,3051370,3740217,3380972,3944120,2769101,3637557,2251696,3756045,1698275,3691761,2750067,4094786,1701408,3693305,2132649,3767579,1549688,3746188,2822416,3661816,2101051,3950075,2777721,3957700,2303390,3887563,2837867,3892733,2104179,3901001,2246052,4092690,1704125,3970303,1734730,3661711,1911990,4353008,2690583,4333569,3077648,4523446,2885053,4438477,2046288,4264984,2770595,4247291,2918369,4012991,2209796,4090202,2032653,4091991,2239299,4155859,2861400,3601144,1481909,4387923,2970090,4307963,2693349,4004484,1921834,3617824,1643349,4109876,2586667,4248563,2503093,3889725,1736301,3918842,2400707,3919027,1879941,4312368,2216941,4075719,2217129,4128726,1287973,3619624,1783668,4566509,2619894,3952878,2048913,4076855,3151464,4193556,3114826,3978182,3571776,4131750,2940206,4057373,2474667,3906813,2847896,3906205,3250211,4197443,3238135,4081839,3052559,4103458,3339034,4027419,2392275,3950975,3260115,2666667,3904761,4122347,3245325,4135403,3258875,4048431,3254417,4054335,3311628,4233424,1934852,3957594,3257442,4344201,3484187,4403049,3167851,4178515,2136874,3885482,2757697,4230650,2928934,3470073,3130800,4102774,3146039,3900091,3064083,4114990,2851590,3727872,3170527,4131546,2653558,3788000,3080451,4090614,3136237,3743414,2904166,4301306,3226367,3121346,2728275,4012992,3560931,4160871,3747121,4084153,3977690,4010353,3751268,4065394,3897855,4107920,3662802,4076460,3429813,4183607,3770822,4309270,3618229,4295826,3530428,4303855,4164241,4127259,3836458,4161774,3713069,4248178,3410674,4298767,4267514,4162199,3813302,4171130,3826592,3972575,3591445,,8171919,
2025-01-12 20:00:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
