sep=,
"Time","avgTotal.cecbep1-01","avgTotal.cecbep1-02","avgTotal.cecbep1-03","avgTotal.cecbep1-04","avgTotal.cecbep1-05","avgTotal.cecbep1-06","avgTotal.cecbep1-07","avgTotal.cecbep1-08","avgTotal.cecmaz1-01","avgTotal.cecmaz1-02","avgTotal.cecmaz1-03","avgTotal.cecmaz1-04","avgTotal.cecmaz1-05","avgTotal.cecmaz1-06","avgTotal.cecmaz1-07","avgTotal.cecmaz1-08","avgTotal.cecmsm1-01","avgTotal.cecmsm1-02","avgTotal.cecmsm1-03","avgTotal.cecmsm1-04","avgTotal.cecmsm1-05","avgTotal.cecmsm1-06","avgTotal.cecmsm1-07","avgTotal.cecmsm1-08","avgTotal.cefsbin3-01","avgTotal.cefsbin3-02","avgTotal.cefsbin3-03","avgTotal.cefsbin3-04","avgTotal.cefsbin3-05","avgTotal.cefsbin3-06","avgTotal.ceihta1-01","avgTotal.ceihta1-02","avgTotal.ceihta1-03","avgTotal.ceihta1-04","avgTotal.ceihta1-05","avgTotal.ceihta1-06","avgTotal.ceihta1-07","avgTotal.ceihta1-08","avgTotal.ceihta1-09","avgTotal.ceihta1-10","avgTotal.ceihta1-11","avgTotal.ceihta1-12","avgTotal.ceihta1-13","avgTotal.ceihta1-14","avgTotal.ceihta1-15","avgTotal.ceihta1-16","avgTotal.ceihta1-17","avgTotal.ceihta1-18","avgTotal.ceihta1-19","avgTotal.ceihta1-20","avgTotal.ceimno1-01","avgTotal.ceimno1-02","avgTotal.ceimno1-03","avgTotal.ceimno1-04","avgTotal.ceimno1-05","avgTotal.ceimno1-06","avgTotal.ceimno1-07","avgTotal.ceimno1-08","avgTotal.ceimno1-09","avgTotal.ceimno1-10","avgTotal.ceimno1-11","avgTotal.ceimno1-12","avgTotal.ceimno1-13","avgTotal.ceimno1-14","avgTotal.ceimno1-15","avgTotal.ceimno1-16","avgTotal.ceimno1-17","avgTotal.ceimno1-18","avgTotal.ceimno1-19","avgTotal.ceimpe1-01","avgTotal.ceimpe1-02","avgTotal.ceimpe1-03","avgTotal.ceimpe1-04","avgTotal.ceimpe1-05","avgTotal.ceimpe1-06","avgTotal.ceimpe1-07","avgTotal.ceimpe1-08","avgTotal.ceimpe1-09","avgTotal.ceimpe1-10","avgTotal.ceimpe1-11","avgTotal.ceimpe1-12","avgTotal.ceimpe1-13","avgTotal.ceimpe1-14","avgTotal.ceimpe1-15","avgTotal.ceimpe1-16","avgTotal.ceimsm1-01","avgTotal.ceimsm1-02","avgTotal.ceimsm1-03","avgTotal.ceimsm1-04","avgTotal.ceimsm1-05","avgTotal.ceimsm1-06","avgTotal.ceimsm1-07","avgTotal.ceimsm1-08","avgTotal.ceimsm1-09","avgTotal.ceimsm1-10","avgTotal.ceimsm1-11","avgTotal.ceimsm1-12","avgTotal.ceimsm1-13","avgTotal.ceimsm1-14","avgTotal.ceimsm1-15","avgTotal.ceimsm1-16","avgTotal.ceimsm1-17","avgTotal.ceimsm1-18","avgTotal.codmno1-05","avgTotal.codmpe1-05"
2025-01-12 20:00:00,3503001,3468508,3435203,3452627,3573370,3439814,3465300,3333706,3132427,2875158,3187105,2753180,2760139,2470395,3213317,2762074,3289247,3034398,3357495,3045876,2946520,2675641,2716956,2695717,3480074,3581299,3460219,3034922,3407998,3599747,3118637,3074745,2973373,3456702,1864515,3450304,3537573,2840463,2365161,3275500,3305069,2700292,3147389,2787223,3179635,3157876,2621093,2927499,3372412,2895191,3519773,3569693,3796484,3471668,3123956,3348848,3479576,3622295,3503035,3707332,3107210,3510671,2800000,3623731,3646917,3606043,3708568,2957646,3657624,3258017,3319786,3484442,3326691,3517462,3459916,3626094,3490495,3393580,3464507,3271005,3529876,3589212,3282848,3613728,2782860,3782189,3893428,3887082,3887445,3944611,3870982,3772234,4015973,4012178,3854720,4209938,3895788,3917901,3794320,4151435,3799509,4082700,3757003,8139664,
2025-01-12 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:30,3485012,3445910,3387006,3482310,3477028,3372586,3534934,3272680,2771394,2469939,3153650,2727141,2801501,2500213,3218318,2769951,3280159,3012380,3287737,2870702,2955316,2727796,2692833,2661870,3403051,3615900,3587221,3071512,3411047,3487907,2982594,2914460,3033310,3416168,2188321,3577733,3385327,2814398,2489553,3239471,3251152,2659197,3051336,2753835,3114981,3013668,2505439,2570506,3454157,2864898,3548060,3577139,3745950,3450868,3152969,3301718,3531351,3649267,3493679,3666644,3093051,3556197,2976190,3621191,3634530,3594709,3629931,2919955,3557507,3914194,3785450,3011863,3241033,3486813,3276203,3556068,3422372,3393047,3409389,3286981,3383686,3545255,3263844,3687055,2896734,3754671,3924442,4023317,3862305,3969657,3853567,3706947,3947730,3914389,3858456,4224075,3961087,3905371,3769605,4280908,3962829,3974251,3754786,8171919,
2025-01-12 20:00:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:00,3468955,3482538,3405023,3409072,3444672,3395945,3438790,3272990,3126592,2714327,3184288,2689515,2787768,2489566,3189931,2759809,2820700,3116058,2769110,2847151,2940441,2735914,2725837,2680032,3342293,3583808,3607107,2995570,3490627,3567879,2971720,2825157,2989408,3328066,2246651,3695255,3516278,2797887,2465681,3173957,3244099,2773164,3084136,2766068,2883383,2773578,2501116,2830118,3242260,2861316,3596068,3646748,3846584,3474816,3162308,3120835,3524962,3589900,3554681,3525290,3147156,3486963,2400000,3564353,3626678,3634008,3672174,2961143,3532682,3347690,3182459,3321583,3120606,3350942,3257476,3543128,3269744,3368524,3249141,3337896,3875528,3568093,3195184,3649516,2966313,3758397,3913822,3856876,3840296,4058776,3892856,3720367,3964980,4041387,3860347,3885107,3935115,3937681,3786584,4184455,3820178,4303162,4042497,8156250,
2025-01-12 20:01:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:30,3463224,3451100,3419884,3408476,3457607,3473401,3336207,3260639,3070241,2642966,3143616,2378975,2720633,2535762,3191860,2639788,3075355,3211944,2939844,2835568,3094148,2776367,2735848,2779578,3446818,3543727,3612076,2952352,3452151,3492924,3096340,3020507,3011136,3389940,2193129,3623140,3437151,2832366,2557603,3244973,3344870,2773167,3114730,2794760,3055464,2646405,2577163,2838238,3308463,2994126,3497871,3625842,3887178,3531681,3202266,3301609,3536064,3606114,3524766,3678131,3138150,3381520,2823529,3528630,3606585,3596521,3668002,3001376,3556913,3734562,3352718,3031247,2889749,3406971,3340400,3483342,3258602,3394507,3255727,3256491,3293549,3551482,3189600,3667719,3025422,3817613,3911866,3925412,3811230,3982009,3667263,3755766,3986754,4003709,3852949,4021970,4019885,3877053,3778249,4191628,3826579,4027070,3754288,8157232,
2025-01-12 20:01:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
