sep=,
"Time","connections.cecbep1-01.443","connections.cecbep1-01.80","connections.cecbep1-02.443","connections.cecbep1-02.80","connections.cecbep1-03.443","connections.cecbep1-03.80","connections.cecbep1-04.443","connections.cecbep1-04.80","connections.cecbep1-05.443","connections.cecbep1-05.80","connections.cecbep1-06.443","connections.cecbep1-06.80","connections.cecbep1-07.443","connections.cecbep1-07.80","connections.cecbep1-08.443","connections.cecbep1-08.80","connections.cecmaz1-01.443","connections.cecmaz1-01.80","connections.cecmaz1-02.443","connections.cecmaz1-02.80","connections.cecmaz1-03.443","connections.cecmaz1-03.80","connections.cecmaz1-04.443","connections.cecmaz1-04.80","connections.cecmaz1-05.443","connections.cecmaz1-05.80","connections.cecmaz1-06.443","connections.cecmaz1-06.80","connections.cecmaz1-07.443","connections.cecmaz1-07.80","connections.cecmaz1-08.443","connections.cecmaz1-08.80","connections.cecmsm1-01.443","connections.cecmsm1-01.80","connections.cecmsm1-02.443","connections.cecmsm1-02.80","connections.cecmsm1-03.443","connections.cecmsm1-03.80","connections.cecmsm1-04.443","connections.cecmsm1-04.80","connections.cecmsm1-05.443","connections.cecmsm1-05.80","connections.cecmsm1-06.443","connections.cecmsm1-06.80","connections.cecmsm1-07.443","connections.cecmsm1-07.80","connections.cecmsm1-08.443","connections.cecmsm1-08.80","connections.cefsbin3-01.443","connections.cefsbin3-01.80","connections.cefsbin3-02.443","connections.cefsbin3-02.80","connections.cefsbin3-03.443","connections.cefsbin3-03.80","connections.cefsbin3-04.443","connections.cefsbin3-04.80","connections.cefsbin3-05.443","connections.cefsbin3-05.80","connections.cefsbin3-06.443","connections.cefsbin3-06.80","connections.ceihta1-01.443","connections.ceihta1-01.80","connections.ceihta1-02.443","connections.ceihta1-02.80","connections.ceihta1-03.443","connections.ceihta1-03.80","connections.ceihta1-04.443","connections.ceihta1-04.80","connections.ceihta1-05.443","connections.ceihta1-05.80","connections.ceihta1-06.443","connections.ceihta1-06.80","connections.ceihta1-07.443","connections.ceihta1-07.80","connections.ceihta1-08.443","connections.ceihta1-08.80","connections.ceihta1-09.443","connections.ceihta1-09.80","connections.ceihta1-10.443","connections.ceihta1-10.80","connections.ceihta1-11.443","connections.ceihta1-11.80","connections.ceihta1-12.443","connections.ceihta1-12.80","connections.ceihta1-13.443","connections.ceihta1-13.80","connections.ceihta1-14.443","connections.ceihta1-14.80","connections.ceihta1-15.443","connections.ceihta1-15.80","connections.ceihta1-16.443","connections.ceihta1-16.80","connections.ceihta1-17.443","connections.ceihta1-17.80","connections.ceihta1-18.443","connections.ceihta1-18.80","connections.ceihta1-19.443","connections.ceihta1-19.80","connections.ceihta1-20.443","connections.ceihta1-20.80","connections.ceimno1-01.443","connections.ceimno1-01.80","connections.ceimno1-02.443","connections.ceimno1-02.80","connections.ceimno1-03.443","connections.ceimno1-03.80","connections.ceimno1-04.443","connections.ceimno1-04.80","connections.ceimno1-05.443","connections.ceimno1-05.80","connections.ceimno1-06.443","connections.ceimno1-06.80","connections.ceimno1-07.443","connections.ceimno1-07.80","connections.ceimno1-08.443","connections.ceimno1-08.80","connections.ceimno1-09.443","connections.ceimno1-09.80","connections.ceimno1-10.443","connections.ceimno1-10.80","connections.ceimno1-11.443","connections.ceimno1-11.80","connections.ceimno1-12.443","connections.ceimno1-12.80","connections.ceimno1-13.443","connections.ceimno1-13.80","connections.ceimno1-14.443","connections.ceimno1-14.80","connections.ceimno1-15.443","connections.ceimno1-15.80","connections.ceimno1-16.443","connections.ceimno1-16.80","connections.ceimno1-17.443","connections.ceimno1-17.80","connections.ceimno1-18.443","connections.ceimno1-18.80","connections.ceimno1-19.443","connections.ceimno1-19.80","connections.ceimno1-20.443","connections.ceimno1-20.80","connections.ceimpe1-01.443","connections.ceimpe1-01.80","connections.ceimpe1-02.443","connections.ceimpe1-02.80","connections.ceimpe1-03.443","connections.ceimpe1-03.80","connections.ceimpe1-04.443","connections.ceimpe1-04.80","connections.ceimpe1-05.443","connections.ceimpe1-05.80","connections.ceimpe1-06.443","connections.ceimpe1-06.80","connections.ceimpe1-07.443","connections.ceimpe1-07.80","connections.ceimpe1-08.443","connections.ceimpe1-08.80","connections.ceimpe1-09.443","connections.ceimpe1-09.80","connections.ceimpe1-10.443","connections.ceimpe1-10.80","connections.ceimpe1-11.443","connections.ceimpe1-11.80","connections.ceimpe1-12.443","connections.ceimpe1-12.80","connections.ceimpe1-13.443","connections.ceimpe1-13.80","connections.ceimpe1-14.443","connections.ceimpe1-14.80","connections.ceimpe1-15.443","connections.ceimpe1-15.80","connections.ceimpe1-16.443","connections.ceimpe1-16.80","connections.ceimsm1-01.443","connections.ceimsm1-01.80","connections.ceimsm1-02.443","connections.ceimsm1-02.80","connections.ceimsm1-03.443","connections.ceimsm1-03.80","connections.ceimsm1-04.443","connections.ceimsm1-04.80","connections.ceimsm1-05.443","connections.ceimsm1-05.80","connections.ceimsm1-06.443","connections.ceimsm1-06.80","connections.ceimsm1-07.443","connections.ceimsm1-07.80","connections.ceimsm1-08.443","connections.ceimsm1-08.80","connections.ceimsm1-09.443","connections.ceimsm1-09.80","connections.ceimsm1-10.443","connections.ceimsm1-10.80","connections.ceimsm1-11.443","connections.ceimsm1-11.80","connections.ceimsm1-12.443","connections.ceimsm1-12.80","connections.ceimsm1-13.443","connections.ceimsm1-13.80","connections.ceimsm1-14.443","connections.ceimsm1-14.80","connections.ceimsm1-15.443","connections.ceimsm1-15.80","connections.ceimsm1-16.443","connections.ceimsm1-16.80","connections.ceimsm1-17.443","connections.ceimsm1-17.80","connections.ceimsm1-18.443","connections.ceimsm1-18.80","connections.codhta1-11.80","connections.codhta1-11.82","connections.codhta1-12.80","connections.codhta1-12.82","connections.codhta1-21.80","connections.codhta1-21.82","connections.codhta1-22.80","connections.codhta1-22.82","connections.codhta1-31.80","connections.codhta1-31.82","connections.codhta1-32.80","connections.codhta1-32.82","connections.codhta1-41.80","connections.codhta1-41.82","connections.codhta1-42.80","connections.codhta1-42.82","connections.codhta1-51.80","connections.codhta1-51.82","connections.codhta1-52.80","connections.codhta1-52.82","connections.codmpe1-01.80","connections.codmpe1-01.82","connections.codmpe1-02.80","connections.codmpe1-02.82","connections.codmpe1-03.80","connections.codmpe1-03.82","connections.codmpe1-04.80","connections.codmpe1-04.82","connections.codmpe1-06.80","connections.codmpe1-06.82","connections.codmpe1-07.80","connections.codmpe1-07.82","connections.codmsm1-11.80","connections.codmsm1-11.82","connections.codmsm1-12.80","connections.codmsm1-12.82","connections.codmsm1-21.80","connections.codmsm1-21.82","connections.codmsm1-22.80","connections.codmsm1-22.82","connections.codmsm1-31.80","connections.codmsm1-31.82","connections.codmsm1-32.80","connections.codmsm1-32.82","connections.codmsm1-41.80","connections.codmsm1-41.82","connections.codmsm1-42.80","connections.codmsm1-42.82","connections.codmsm1-51.80","connections.codmsm1-51.82","connections.codmsm1-52.80","connections.codmsm1-52.82","connections.cowhta1-21.80","connections.cowhta1-22.80","connections.cowmpe1-01.80","connections.cowmpe1-02.80","connections.cowmsm1-11.80","connections.cowmsm1-12.80","connections.cwcbep1-01.443","connections.cwcbep1-01.80","connections.cwcbep1-02.443","connections.cwcbep1-02.80","connections.cwcbep1-03.443","connections.cwcbep1-03.80","connections.cwcbep1-04.443","connections.cwcbep1-04.80","connections.cwcmsm1-01.443","connections.cwcmsm1-01.80","connections.cwcmsm1-02.443","connections.cwcmsm1-02.80","connections.cwcmsm1-03.443","connections.cwcmsm1-03.80","connections.cwcmsm1-04.443","connections.cwcmsm1-04.80","connections.cwcmsm1-05.443","connections.cwcmsm1-05.80","connections.cwcmsm1-06.443","connections.cwcmsm1-06.80","connections.cwfhta1-01.443","connections.cwfhta1-01.80","connections.cwfhta1-02.443","connections.cwfhta1-02.80","connections.cwfhta1-03.443","connections.cwfhta1-03.80","connections.cwfhta1-04.443","connections.cwfhta1-04.80","connections.cwfmpe1-01.443","connections.cwfmpe1-01.80","connections.cwfmpe1-02.443","connections.cwfmpe1-02.80","connections.cwfmpe1-03.443","connections.cwfmpe1-03.80","connections.cwfmpe1-04.443","connections.cwfmpe1-04.80","connections.cypmno1-11.80","connections.cypmno1-12.80","connections.cypmno1-21.80","connections.cypmno1-22.80","connections.cypmno1-31.80","connections.cypmno1-32.80"
2025-01-12 20:00:00,2391,520,2722,768,4333,608,4339,1202,4071,905,3464,781,3065,1263,4966,1853,9256,853,17307,2655,5439,655,17272,819,8777,1037,22252,1157,7029,1161,8340,1126,15279,3206,18000,1913,11217,1443,17840,1640,17792,1578,19412,2349,15483,1006,15923,968,4552,621,4261,554,5011,1460,3915,512,3120,917,5637,574,687,96,1409,217,1156,287,1525,644,10925,194,1089,79,892,181,1323,213,1933,147,822,187,997,173,1970,369,805,354,1343,150,673,157,1127,184,10180,134,7715,195,702,519,2458,419,7007,344,5935,1380,8371,453,7180,235,6781,413,7354,324,5762,355,6703,440,7112,324,7533,344,6643,2416,7386,377,13,5,5663,3020,3633,2756,4889,393,5015,223,7076,297,8846,397,6609,478,9756,458,7572,2736,14020,464,10217,549,10166,481,12098,424,8428,417,8162,3038,10594,414,10203,350,10090,678,8102,2603,18118,1752,19976,981,13081,4512,27932,1433,8853,656,13109,1450,10628,529,12708,1093,10325,552,7251,363,4317,190,4217,2003,4991,224,3605,1675,3630,1274,5667,529,5379,301,4032,741,4978,199,3985,2349,6443,298,5917,338,793,84,653,65,59,37,56,35,1314,99,698,94,1500,118,2731,142,1167,167,1837,182,1400,113,1332,100,2113,123,1186,77,0,1,363,60,327,59,373,53,60,37,43,38,601,86,1305,89,2681,161,2262,107,1528,142,2270,159,1,1,1,1,1,2,10429,2381,4058,975,2247,637,5201,1326,29647,2144,14381,3077,16436,4017,20539,1882,8759,805,39477,9687,7482,962,44130,11357,51809,13569,12060,2213,23033,4284,26274,5966,73433,12313,36535,7737,107,37,2181,372,2583,3287
2025-01-12 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:10,2450,547,2803,771,4335,605,4416,1228,4155,922,3563,795,3047,1260,5061,1852,9248,857,16636,2652,5267,650,17178,803,8238,1023,22416,1166,7418,1141,8305,1111,15572,3230,18555,1908,11056,1438,18702,1651,17999,1621,18692,2317,15382,1005,15921,959,4564,623,4326,567,4728,1440,3892,497,3426,917,5992,588,639,109,1487,204,1161,283,1553,659,10868,185,1213,89,915,169,1347,208,2106,142,879,185,997,170,2043,435,827,365,1514,146,749,168,1170,187,10898,124,7209,208,752,557,2337,509,7170,329,5885,1372,8271,466,7088,224,6791,402,7350,303,6070,374,6773,427,6939,337,7612,334,6966,2469,7570,364,13,5,5627,2998,3718,2756,4866,390,5041,223,6986,284,8911,412,6784,493,9758,447,7615,2757,14028,462,10240,553,10329,463,11763,434,8508,408,8065,3018,10440,431,10124,336,9983,710,8120,2806,18034,1743,20341,995,13014,4511,28045,1387,9014,645,13025,1475,10931,531,13179,1098,10614,557,7485,368,4436,171,4106,1998,5013,228,3638,1672,3700,1271,5435,490,5275,260,4052,747,4982,194,3860,2359,6301,288,5839,306,729,84,592,65,57,37,64,35,1291,99,697,94,1267,118,2731,142,1208,167,1772,182,1393,113,1356,100,2240,124,1186,77,0,1,352,60,323,59,420,53,62,37,40,38,598,86,1301,89,2721,161,2393,107,1551,139,2221,159,1,1,1,1,0,2,1424,365,6107,1541,4067,1098,7239,1840,28656,2012,18634,5333,21163,6426,18106,1723,13360,4151,17854,104,24786,4370,48699,12358,52750,12875,36570,7618,28141,4864,42829,9809,11914,2788,51059,10380,85,36,2187,331,2606,3243
2025-01-12 20:00:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:20,2438,548,2817,772,4396,607,4321,1241,4181,903,3549,809,3204,1266,5093,1850,8985,854,15881,2578,5412,642,17171,792,8375,972,21976,1148,7394,1122,8350,1064,15931,3290,19326,1879,11596,1411,19237,1677,18892,1703,18189,2295,15442,1012,15929,955,4721,635,4405,564,4501,1426,3833,502,3338,917,6179,587,678,137,1523,197,1177,286,1612,692,10833,185,1419,89,939,173,1426,197,2387,149,921,198,1003,172,2045,548,881,361,1587,143,731,157,1211,171,11949,151,7769,216,769,648,2723,651,7233,313,6024,1387,7997,529,7213,222,6852,392,7284,321,6382,384,6773,449,6922,341,7583,346,7170,2506,7494,362,12,5,5795,3014,3660,2740,4904,380,5051,211,6995,295,9568,481,7136,523,9811,441,7535,2771,14080,464,10249,567,10343,472,12396,424,8489,402,8196,3054,10556,438,10343,339,10152,635,8051,2869,18154,1751,20199,1036,13290,4512,28046,1405,9141,656,13127,1471,10883,580,13274,1104,10627,582,7396,351,4715,177,4064,2013,5006,227,3667,1692,3637,1274,5305,461,5122,242,4002,738,4960,175,3673,2351,6215,305,5843,314,826,84,654,65,59,37,75,35,1306,99,710,94,1299,117,2882,142,1208,167,1779,182,1442,113,1277,100,2489,124,1214,77,0,1,355,60,351,59,392,53,80,37,28,38,615,86,1289,89,2550,161,2367,107,1588,139,2190,159,1,1,1,1,0,2,3421,984,7870,1874,5725,1530,8795,2264,16629,116,23236,7155,27615,8511,8350,191,19276,5649,17675,215,40555,7565,49752,12290,65174,13730,62996,14701,32268,4828,54124,12472,21482,5245,62508,12649,90,37,2146,337,2629,3307
2025-01-12 20:00:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:30,2438,536,2765,761,4461,608,4481,1227,4099,915,3551,816,3052,1282,5118,1860,8897,892,15643,2500,5599,660,17160,767,8609,965,21419,1141,7543,1129,8437,1048,16887,3264,19585,1868,12006,1524,20074,1712,19165,1756,17885,2276,15357,1004,15787,946,5323,638,4472,569,4387,1421,4572,498,3309,915,6050,646,695,145,1587,201,1176,294,1573,681,10804,197,1342,96,902,183,1496,200,2523,135,922,184,1000,189,2111,589,879,341,1596,137,745,173,1209,162,12711,152,8668,214,744,633,2908,684,7211,324,5938,1388,7581,512,7132,216,6841,402,7280,327,6988,421,6778,448,6858,332,7625,353,6684,2492,7421,369,15,5,5748,3017,3518,2729,4886,392,5091,235,6929,306,10165,563,7323,533,9809,463,7552,2768,14013,478,10164,547,10262,461,12591,424,8525,416,8118,3090,10499,430,10235,337,10053,653,8118,2654,18144,1754,20511,1031,13192,4526,27891,1432,9286,639,13110,1491,11074,585,13493,1122,10950,605,7463,383,5042,209,3965,2014,4889,203,3606,1682,3641,1264,5176,443,4937,238,4042,715,4898,157,3587,2343,6216,289,5890,293,736,84,664,65,55,37,75,35,1289,99,706,94,1352,117,2797,142,1231,167,1826,182,1424,113,1381,101,2333,123,1229,77,0,1,353,60,353,59,307,53,77,37,54,38,635,86,1261,89,2430,161,2495,107,1612,139,2170,160,1,1,1,1,0,2,5190,1649,9341,2197,7228,1843,10259,2568,18565,1327,27194,8865,33110,10119,11235,1382,29470,6131,16627,267,45272,7455,65881,13912,91253,19410,68998,15935,37288,5629,65246,13849,31511,7463,72366,14125,74,35,2145,328,2540,3302
2025-01-12 20:00:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:40,2577,544,2871,755,4522,607,4599,1212,4209,938,3693,798,3209,1288,5203,1840,9329,923,15670,2501,5933,653,17136,775,8515,962,21054,1151,7885,1126,8458,1065,17769,3338,18179,1794,12539,1550,21081,1834,20198,1779,17803,2287,15331,985,15755,933,5544,639,4437,565,4322,1424,5360,508,3236,923,6040,681,673,131,1611,223,1207,298,1526,672,10765,207,1298,109,926,186,1510,214,2559,139,895,173,1014,181,2179,561,890,336,1629,131,742,166,1213,161,13328,169,9215,211,744,592,2976,659,7217,315,6030,1389,7241,487,7267,238,6904,404,7336,307,7409,484,6738,443,6924,325,7675,343,6203,2485,7523,348,15,5,5572,3013,3584,2727,4881,384,5119,228,6992,304,10796,575,7525,573,9696,455,7656,2802,14004,463,10270,538,10463,455,12064,408,8551,417,7936,3080,10631,427,10131,330,10052,661,8156,2619,18197,1749,20645,1034,13175,4528,27733,1146,9375,655,13478,1531,11537,552,13687,1138,11145,642,7641,383,5457,236,3964,2014,4943,216,3638,1675,3644,1258,5102,412,4877,225,4033,724,4919,149,3541,2336,6098,297,5873,296,707,84,624,65,68,37,68,35,1304,99,710,94,1210,116,2870,142,1210,167,1867,182,1382,113,1340,101,2368,122,1221,77,0,1,344,60,343,59,358,53,58,37,33,38,655,86,1257,89,2313,161,2674,107,1591,139,2126,160,1,1,1,1,0,2,6641,1970,11415,2507,8846,2265,1374,308,24573,4356,30509,9753,38371,10878,18607,4389,34964,5413,14603,381,44132,6922,89452,19785,6412,1302,68349,14836,9753,1599,80070,16201,43242,9844,9920,1940,92,30,2125,335,2497,3310
2025-01-12 20:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
