sep=,
"Time","live.cecbep1-01","vod.cecbep1-01","live.cecbep1-02","vod.cecbep1-02","live.cecbep1-03","vod.cecbep1-03","live.cecbep1-04","vod.cecbep1-04","live.cecbep1-05","vod.cecbep1-05","live.cecbep1-06","vod.cecbep1-06","live.cecbep1-07","vod.cecbep1-07","live.cecbep1-08","vod.cecbep1-08","live.cecmaz1-01","vod.cecmaz1-01","live.cecmaz1-02","vod.cecmaz1-02","live.cecmaz1-03","vod.cecmaz1-03","live.cecmaz1-04","vod.cecmaz1-04","live.cecmaz1-05","vod.cecmaz1-05","live.cecmaz1-06","vod.cecmaz1-06","live.cecmaz1-07","vod.cecmaz1-07","live.cecmaz1-08","vod.cecmaz1-08","live.cecmsm1-01","vod.cecmsm1-01","live.cecmsm1-02","vod.cecmsm1-02","live.cecmsm1-03","vod.cecmsm1-03","live.cecmsm1-04","vod.cecmsm1-04","live.cecmsm1-05","vod.cecmsm1-05","live.cecmsm1-06","vod.cecmsm1-06","live.cecmsm1-07","vod.cecmsm1-07","live.cecmsm1-08","vod.cecmsm1-08","live.cefsbin3-01","vod.cefsbin3-01","live.cefsbin3-02","vod.cefsbin3-02","live.cefsbin3-03","vod.cefsbin3-03","live.cefsbin3-04","vod.cefsbin3-04","live.cefsbin3-05","vod.cefsbin3-05","live.cefsbin3-06","vod.cefsbin3-06","live.ceihta1-01","vod.ceihta1-01","live.ceihta1-02","vod.ceihta1-02","live.ceihta1-03","vod.ceihta1-03","live.ceihta1-04","vod.ceihta1-04","live.ceihta1-05","vod.ceihta1-05","live.ceihta1-06","vod.ceihta1-06","live.ceihta1-07","vod.ceihta1-07","live.ceihta1-08","vod.ceihta1-08","live.ceihta1-09","vod.ceihta1-09","live.ceihta1-10","vod.ceihta1-10","live.ceihta1-11","vod.ceihta1-11","live.ceihta1-12","vod.ceihta1-12","live.ceihta1-13","vod.ceihta1-13","live.ceihta1-14","vod.ceihta1-14","live.ceihta1-15","vod.ceihta1-15","live.ceihta1-16","vod.ceihta1-16","live.ceihta1-17","vod.ceihta1-17","live.ceihta1-18","vod.ceihta1-18","live.ceihta1-19","vod.ceihta1-19","live.ceihta1-20","vod.ceihta1-20","live.ceimno1-01","vod.ceimno1-01","live.ceimno1-02","vod.ceimno1-02","live.ceimno1-03","vod.ceimno1-03","live.ceimno1-04","vod.ceimno1-04","live.ceimno1-05","vod.ceimno1-05","live.ceimno1-06","vod.ceimno1-06","live.ceimno1-07","vod.ceimno1-07","live.ceimno1-08","vod.ceimno1-08","live.ceimno1-09","vod.ceimno1-09","live.ceimno1-10","vod.ceimno1-10","live.ceimno1-11","vod.ceimno1-11","live.ceimno1-12","vod.ceimno1-12","live.ceimno1-13","vod.ceimno1-13","live.ceimno1-14","vod.ceimno1-14","live.ceimno1-15","vod.ceimno1-15","live.ceimno1-16","vod.ceimno1-16","live.ceimno1-17","vod.ceimno1-17","live.ceimno1-18","vod.ceimno1-18","live.ceimno1-19","vod.ceimno1-19","live.ceimpe1-01","vod.ceimpe1-01","live.ceimpe1-02","vod.ceimpe1-02","live.ceimpe1-03","vod.ceimpe1-03","live.ceimpe1-04","vod.ceimpe1-04","live.ceimpe1-05","vod.ceimpe1-05","live.ceimpe1-06","vod.ceimpe1-06","live.ceimpe1-07","vod.ceimpe1-07","live.ceimpe1-08","vod.ceimpe1-08","live.ceimpe1-09","vod.ceimpe1-09","live.ceimpe1-10","vod.ceimpe1-10","live.ceimpe1-11","vod.ceimpe1-11","live.ceimpe1-12","vod.ceimpe1-12","live.ceimpe1-13","vod.ceimpe1-13","live.ceimpe1-14","vod.ceimpe1-14","live.ceimpe1-15","vod.ceimpe1-15","live.ceimpe1-16","vod.ceimpe1-16","live.ceimsm1-01","vod.ceimsm1-01","live.ceimsm1-02","vod.ceimsm1-02","live.ceimsm1-03","vod.ceimsm1-03","live.ceimsm1-04","vod.ceimsm1-04","live.ceimsm1-05","vod.ceimsm1-05","live.ceimsm1-06","vod.ceimsm1-06","live.ceimsm1-07","vod.ceimsm1-07","live.ceimsm1-08","vod.ceimsm1-08","live.ceimsm1-09","vod.ceimsm1-09","live.ceimsm1-10","vod.ceimsm1-10","live.ceimsm1-11","vod.ceimsm1-11","live.ceimsm1-12","vod.ceimsm1-12","live.ceimsm1-13","vod.ceimsm1-13","live.ceimsm1-14","vod.ceimsm1-14","live.ceimsm1-15","vod.ceimsm1-15","live.ceimsm1-16","vod.ceimsm1-16","live.ceimsm1-17","vod.ceimsm1-17","live.ceimsm1-18","vod.ceimsm1-18"
2025-01-12 20:00:00,5305774599,4030686607,6288195187,4959304486,9292563998,4423231900,9411595514,7425171043,6782012429,6408426797,7172622591,5842743869,8052697154,5485894956,8531571109,13741113600,13223236507,8787266646,16479898269,19886351772,8324481256,6405746687,4321569733,34745607330,9610421835,11853742665,11209498828,37161801514,11419691017,9579307941,10767993619,13919788674,33496313792,10796346425,37493053989,17837288776,23843737608,8947172528,20156367637,16787259375,37479930727,17530394542,27825177832,25833045582,9978049691,30485374073,18427580628,25600320517,14786345184,4171026778,12234165757,3198147220,16795378460,5398438591,10479819244,4887915622,10636863900,2213888536,16960564623,3579569946,536733333,1475967969,941489212,4501975393,1233015187,2558842636,2675581060,3760176086,524006554,21208561912,442088115,1681730362,714365882,2835159383,779769343,4419865161,957395249,5784308841,862074122,2119818739,827305446,2488213863,937309612,4676570397,1268608140,2099403928,856149297,4442099984,502014796,2247671463,1148397363,2758480853,749495478,18961768674,778356828,4883426854,1253501738,1794068950,832001382,2989741574,21124504188,1923147184,20779853163,2511776608,18594743210,1909619411,20222902945,2230297349,19203236549,2895441098,18311148460,1328075027,14496667387,1060423040,22107291527,1356222941,20645223220,1480244850,22751833730,1842932353,19863329781,1885078427,22585897905,1977356247,19705649,59912247,24102933291,1752391121,18985841651,1820033650,15527658280,979887999,14890312903,1065629082,8291538290,9057840720,21983592336,2326761991,29450198079,3134439824,29686902861,2834691604,15172860041,24174843264,28281897744,2447759077,31714477887,1944241131,28116355119,3795288971,26071371311,2056427564,27173143558,2620943253,31058237120,2333541921,29053881895,1270637283,31709667766,1780887665,29568756756,1018782260,59806037358,1532576380,52698115222,2143206738,55751659014,1664418850,57671886925,1101523427,24409191976,1467466115,38140121182,2251125564,30098243760,1880138869,36525534888,1957679453,30171099169,1072673328,19764204702,843970999,14070232643,529842442,16856816399,1353635527,14529381209,595601753,16156879328,941881473,15536427921,665045688,15285810307,1080561638,13663774416,2998080486,14734361402,693153396,15340862216,1051772294,18269438919,1021432642,20371314890,519470302,18762229679,662575792
2025-01-12 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:30,5301673263,4094828319,6430209966,4983791787,9101988503,4483344833,9365462962,7479094746,7162471857,6225965795,7266577239,5531466759,7968489124,5361909822,9085568988,13818481154,14406686590,6838731443,18483698065,15082554887,9321902519,6083254179,4172224919,34919521133,10873342967,10619976038,11357857947,35182211905,12779607140,9165165071,12139281081,12358296993,37461962184,11354910763,40023037458,17408162329,26289239527,8882736927,23719976451,19578233167,40252940841,16823154053,27217045923,23440988678,9756183320,30482729750,18400027313,24619889367,15007906098,4211652761,12731478995,3271957450,16745683867,4912781022,10453211796,4901117243,11336042174,2275634650,17680596588,3708557476,539194378,1587012169,924760376,4912733736,1241435018,2748252579,2676468280,3959935976,769076296,20174776152,456636914,1830619721,719872458,3099302021,809762461,4514909296,997302234,7262055782,887053337,2216304013,814620784,2611025885,965710521,5133440041,1277688559,2224081657,881182930,5219883069,515225089,2184945062,1217984300,3061643895,776345493,20903856349,807294134,4883383962,1237564707,1816948831,866797942,2913337879,21570081166,1918754950,21108168229,2438068098,19765769333,1813672356,20097010229,2100132311,19602586542,2869912660,19110576604,1303580049,15547394909,1177337618,22344935215,1364386023,21287916779,1380649879,23122184660,1801263082,21258966549,1828522122,23078332264,1949592431,20622155,90522355,24343775414,1701322602,18887635819,1745181865,15611091669,977480982,15201742501,1069806758,8301351552,8973644188,23579534040,2355061901,29127067100,3866163068,28759936791,3623118723,14893949913,18256492678,27587053074,2330707791,31510206948,1913518674,27232856570,3629821719,25877657925,2050271011,26572607032,2419762783,31016314204,2332287699,28235275850,1188396869,31476357625,1758331765,28550089719,959996645,59162324943,1481999485,52909996579,2062812262,55306464535,1601030130,57884358224,1011285284,25892379742,1421471811,40466227023,2139063515,31475040028,1880455639,38174550064,1912264744,32112423889,1076189893,20818216372,832195774,14950278183,514807913,16708092108,1318830480,14382927780,582811903,16159974052,949305660,15550049349,648027631,14805709242,987520678,13407016862,2878373562,14706417599,676318797,15269909821,988158465,18250663222,985202929,20268488183,485751396,18814876961,632986338
2025-01-12 20:00:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
