time,server,avg_bitrate_mode_live,avg_bitrate_mode_vod
2025-01-12 20:00:00,cecbep1-01,3776296.0,3298030.0
2025-01-12 20:00:00,cecbep1-02,3892973.0,3150160.0
2025-01-12 20:00:00,cecbep1-03,3807039.0,3156326.0
2025-01-12 20:00:00,cecbep1-04,3861808.0,3145742.0
2025-01-12 20:00:00,cecbep1-05,3897270.0,3330445.0
2025-01-12 20:00:00,cecbep1-06,3864332.0,3121426.0
2025-01-12 20:00:00,cecbep1-07,3726460.0,3269429.0
2025-01-12 20:00:00,cecbep1-08,4001908.0,2832554.0
2025-01-12 20:00:00,cecmaz1-01,3637988.0,2753257.0
2025-01-12 20:00:00,cecmaz1-02,3803791.0,2178683.0
2025-01-12 20:00:00,cecmaz1-03,3732129.0,2778338.0
2025-01-12 20:00:00,cecmaz1-04,4137660.0,1714819.0
2025-01-12 20:00:00,cecmaz1-05,3728434.0,2033918.0
2025-01-12 20:00:00,cecmaz1-06,3742509.0,1516309.0
2025-01-12 20:00:00,cecmaz1-07,3827527.0,2752659.0
2025-01-12 20:00:00,cecmaz1-08,3707669.0,2052878.0
2025-01-12 20:00:00,cecmsm1-01,3975018.0,2774919.0
2025-01-12 20:00:00,cecmsm1-02,3979598.0,2325498.0
2025-01-12 20:00:00,cecmsm1-03,3918987.0,2936377.0
2025-01-12 20:00:00,cecmsm1-04,3917856.0,2391892.0
2025-01-12 20:00:00,cecmsm1-05,3909334.0,2224409.0
2025-01-12 20:00:00,cecmsm1-06,4049567.0,1645197.0
2025-01-12 20:00:00,cecmsm1-07,3973393.0,1774629.0
2025-01-12 20:00:00,cecmsm1-08,3736190.0,1915362.0
2025-01-12 20:00:00,cefsbin3-01,4422359.0,2773361.0
2025-01-12 20:00:00,cefsbin3-02,4327581.0,3021588.0
2025-01-12 20:00:00,cefsbin3-03,4466607.0,2705428.0
2025-01-12 20:00:00,cefsbin3-04,4456982.0,1968377.0
2025-01-12 20:00:00,cefsbin3-05,4308235.0,2732821.0
2025-01-12 20:00:00,cefsbin3-06,4255545.0,3107898.0
2025-01-12 20:00:00,ceihta1-01,4053334.0,2417615.0
2025-01-12 20:00:00,ceihta1-02,4133568.0,2280628.0
2025-01-12 20:00:00,ceihta1-03,4057394.0,2160358.0
2025-01-12 20:00:00,ceihta1-04,4167749.0,2923417.0
2025-01-12 20:00:00,ceihta1-05,2476766.0,1405328.0
2025-01-12 20:00:00,ceihta1-06,4138494.0,2934162.0
2025-01-12 20:00:00,ceihta1-07,4321941.0,2949296.0
2025-01-12 20:00:00,ceihta1-08,4059583.0,1926123.0
2025-01-12 20:00:00,ceihta1-09,3221687.0,1722767.0
2025-01-12 20:00:00,ceihta1-10,4070300.0,2679401.0
2025-01-12 20:00:00,ceihta1-11,4361318.0,2512882.0
2025-01-12 20:00:00,ceihta1-12,4121195.0,1634616.0
2025-01-12 20:00:00,ceihta1-13,4055427.0,2466361.0
2025-01-12 20:00:00,ceihta1-14,3922096.0,1936069.0
2025-01-12 20:00:00,ceihta1-15,4286324.0,2349618.0
2025-01-12 20:00:00,ceihta1-16,4262503.0,2329405.0
2025-01-12 20:00:00,ceihta1-17,4195444.0,1440330.0
2025-01-12 20:00:00,ceihta1-18,4278341.0,1914367.0
2025-01-12 20:00:00,ceihta1-19,4456667.0,2559221.0
2025-01-12 20:00:00,ceihta1-20,3921506.0,2125455.0
2025-01-12 20:00:00,ceimno1-01,4062835.0,3112476.0
2025-01-12 20:00:00,ceimno1-02,4214608.0,3086006.0
2025-01-12 20:00:00,ceimno1-03,3938624.0,3689880.0
2025-01-12 20:00:00,ceimno1-04,4172920.0,2945730.0
2025-01-12 20:00:00,ceimno1-05,4027826.0,2446054.0
2025-01-12 20:00:00,ceimno1-06,3890006.0,2942979.0
2025-01-12 20:00:00,ceimno1-07,3871345.0,3185750.0
2025-01-12 20:00:00,ceimno1-08,4184424.0,3200699.0
2025-01-12 20:00:00,ceimno1-09,4098321.0,3056570.0
2025-01-12 20:00:00,ceimno1-10,4120321.0,3397591.0
2025-01-12 20:00:00,ceimno1-11,4005920.0,2433178.0
2025-01-12 20:00:00,ceimno1-12,3937926.0,3190229.0
2025-01-12 20:00:00,ceimno1-13,2666667.0,3000000.0
2025-01-12 20:00:00,ceimno1-14,4127895.0,3245608.0
2025-01-12 20:00:00,ceimno1-15,4113048.0,3297320.0
2025-01-12 20:00:00,ceimno1-16,4102132.0,3233976.0
2025-01-12 20:00:00,ceimno1-17,4101741.0,3413689.0
2025-01-12 20:00:00,ceimno1-18,4231547.0,2002221.0
2025-01-12 20:00:00,ceimno1-19,4027212.0,3380434.0
2025-01-12 20:00:00,ceimpe1-01,4373584.0,2421343.0
2025-01-12 20:00:00,ceimpe1-02,4612053.0,2350586.0
2025-01-12 20:00:00,ceimpe1-03,4197234.0,2771650.0
2025-01-12 20:00:00,ceimpe1-04,3939020.0,2867445.0
2025-01-12 20:00:00,ceimpe1-05,4175219.0,3024144.0
2025-01-12 20:00:00,ceimpe1-06,3689955.0,3287386.0
2025-01-12 20:00:00,ceimpe1-07,4173348.0,3215654.0
2025-01-12 20:00:00,ceimpe1-08,3982854.0,3121226.0
2025-01-12 20:00:00,ceimpe1-09,4010368.0,2930990.0
2025-01-12 20:00:00,ceimpe1-10,3863259.0,3165443.0
2025-01-12 20:00:00,ceimpe1-11,4142346.0,2617500.0
2025-01-12 20:00:00,ceimpe1-12,3896204.0,3255131.0
2025-01-12 20:00:00,ceimpe1-13,4082484.0,3219259.0
2025-01-12 20:00:00,ceimpe1-14,3837142.0,2867128.0
2025-01-12 20:00:00,ceimpe1-15,4367937.0,3048070.0
2025-01-12 20:00:00,ceimpe1-16,3006144.0,2615397.0
2025-01-12 20:00:00,ceimsm1-01,4053411.0,3578772.0
2025-01-12 20:00:00,ceimsm1-02,4204389.0,3660208.0
2025-01-12 20:00:00,ceimsm1-03,4042388.0,3770603.0
2025-01-12 20:00:00,ceimsm1-04,4055632.0,3761305.0
2025-01-12 20:00:00,ceimsm1-05,4127734.0,3807269.0
2025-01-12 20:00:00,ceimsm1-06,4149592.0,3662025.0
2025-01-12 20:00:00,ceimsm1-07,4209426.0,3444341.0
2025-01-12 20:00:00,ceimsm1-08,4192558.0,3883534.0
2025-01-12 20:00:00,ceimsm1-09,4351280.0,3757852.0
2025-01-12 20:00:00,ceimsm1-10,4318131.0,3507161.0
2025-01-12 20:00:00,ceimsm1-11,4283298.0,4154918.0
2025-01-12 20:00:00,ceimsm1-12,4014031.0,3807106.0
2025-01-12 20:00:00,ceimsm1-13,4132779.0,3756743.0
2025-01-12 20:00:00,ceimsm1-14,4233672.0,3464806.0
2025-01-12 20:00:00,ceimsm1-15,4256246.0,4072827.0
2025-01-12 20:00:00,ceimsm1-16,4142599.0,3542191.0
2025-01-12 20:00:00,ceimsm1-17,4217065.0,3981927.0
2025-01-12 20:00:00,ceimsm1-18,3963407.0,3602201.0
2025-01-12 20:00:00,codmno1-05,,8139664.0
2025-01-12 20:00:30,cecbep1-01,3820329.0,3233525.0
2025-01-12 20:00:30,cecbep1-02,3869243.0,3128410.0
2025-01-12 20:00:30,cecbep1-03,3795784.0,3080423.0
2025-01-12 20:00:30,cecbep1-04,3851721.0,3205253.0
2025-01-12 20:00:30,cecbep1-05,3835365.0,3208276.0
2025-01-12 20:00:30,cecbep1-06,3800875.0,3051370.0
2025-01-12 20:00:30,cecbep1-07,3740217.0,3380972.0
2025-01-12 20:00:30,cecbep1-08,3944120.0,2769101.0
2025-01-12 20:00:30,cecmaz1-01,3637557.0,2251696.0
2025-01-12 20:00:30,cecmaz1-02,3756045.0,1698275.0
2025-01-12 20:00:30,cecmaz1-03,3691761.0,2750067.0
2025-01-12 20:00:30,cecmaz1-04,4094786.0,1701408.0
2025-01-12 20:00:30,cecmaz1-05,3693305.0,2132649.0
2025-01-12 20:00:30,cecmaz1-06,3767579.0,1549688.0
2025-01-12 20:00:30,cecmaz1-07,3746188.0,2822416.0
2025-01-12 20:00:30,cecmaz1-08,3661816.0,2101051.0
2025-01-12 20:00:30,cecmsm1-01,3950075.0,2777721.0
2025-01-12 20:00:30,cecmsm1-02,3957700.0,2303390.0
2025-01-12 20:00:30,cecmsm1-03,3887563.0,2837867.0
2025-01-12 20:00:30,cecmsm1-04,3892733.0,2104179.0
2025-01-12 20:00:30,cecmsm1-05,3901001.0,2246052.0
2025-01-12 20:00:30,cecmsm1-06,4092690.0,1704125.0
2025-01-12 20:00:30,cecmsm1-07,3970303.0,1734730.0
2025-01-12 20:00:30,cecmsm1-08,3661711.0,1911990.0
2025-01-12 20:00:30,cefsbin3-01,4353008.0,2690583.0
2025-01-12 20:00:30,cefsbin3-02,4333569.0,3077648.0
2025-01-12 20:00:30,cefsbin3-03,4523446.0,2885053.0
2025-01-12 20:00:30,cefsbin3-04,4438477.0,2046288.0
2025-01-12 20:00:30,cefsbin3-05,4264984.0,2770595.0
2025-01-12 20:00:30,cefsbin3-06,4247291.0,2918369.0
2025-01-12 20:00:30,ceihta1-01,4012991.0,2209796.0
2025-01-12 20:00:30,ceihta1-02,4090202.0,2032653.0
2025-01-12 20:00:30,ceihta1-03,4091991.0,2239299.0
2025-01-12 20:00:30,ceihta1-04,4155859.0,2861400.0
2025-01-12 20:00:30,ceihta1-05,3601144.0,1481909.0
2025-01-12 20:00:30,ceihta1-06,4387923.0,2970090.0
2025-01-12 20:00:30,ceihta1-07,4307963.0,2693349.0
2025-01-12 20:00:30,ceihta1-08,4004484.0,1921834.0
2025-01-12 20:00:30,ceihta1-09,3617824.0,1643349.0
2025-01-12 20:00:30,ceihta1-10,4109876.0,2586667.0
2025-01-12 20:00:30,ceihta1-11,4248563.0,2503093.0
2025-01-12 20:00:30,ceihta1-12,3889725.0,1736301.0
2025-01-12 20:00:30,ceihta1-13,3918842.0,2400707.0
2025-01-12 20:00:30,ceihta1-14,3919027.0,1879941.0
2025-01-12 20:00:30,ceihta1-15,4312368.0,2216941.0
2025-01-12 20:00:30,ceihta1-16,4075719.0,2217129.0
2025-01-12 20:00:30,ceihta1-17,4128726.0,1287973.0
2025-01-12 20:00:30,ceihta1-18,3619624.0,1783668.0
2025-01-12 20:00:30,ceihta1-19,4566509.0,2619894.0
2025-01-12 20:00:30,ceihta1-20,3952878.0,2048913.0
