time,server,avgtotal
2025-01-12 20:00:00,cecbep1-01,3503001.0
2025-01-12 20:00:30,cecbep1-01,3485012.0
2025-01-12 20:01:00,cecbep1-01,3468955.0
2025-01-12 20:01:30,cecbep1-01,3463224.0
2025-01-12 20:02:00,cecbep1-01,3464135.0
2025-01-12 20:02:30,cecbep1-01,3420407.0
2025-01-12 20:03:00,cecbep1-01,3457634.0
2025-01-12 20:03:30,cecbep1-01,3501556.0
2025-01-12 20:04:00,cecbep1-01,3422334.0
2025-01-12 20:04:30,cecbep1-01,3467794.0
2025-01-12 20:05:00,cecbep1-01,3502789.0
2025-01-12 20:05:30,cecbep1-01,3434008.0
2025-01-12 20:06:00,cecbep1-01,3501186.0
2025-01-12 20:06:30,cecbep1-01,3505667.0
2025-01-12 20:07:00,cecbep1-01,3481253.0
2025-01-12 20:07:30,cecbep1-01,3487387.0
2025-01-12 20:08:00,cecbep1-01,3497544.0
2025-01-12 20:08:30,cecbep1-01,3479930.0
2025-01-12 20:09:00,cecbep1-01,3482755.0
2025-01-12 20:09:30,cecbep1-01,3499599.0
2025-01-12 20:10:00,cecbep1-01,3487986.0
2025-01-12 20:10:30,cecbep1-01,3525387.0
2025-01-12 20:11:00,cecbep1-01,3488228.0
2025-01-12 20:11:30,cecbep1-01,3502558.0
2025-01-12 20:12:00,cecbep1-01,3499103.0
2025-01-12 20:12:30,cecbep1-01,3495658.0
2025-01-12 20:13:00,cecbep1-01,3501476.0
2025-01-12 20:13:30,cecbep1-01,3504522.0
2025-01-12 20:14:00,cecbep1-01,3471143.0
2025-01-12 20:14:30,cecbep1-01,3518532.0
2025-01-12 20:15:00,cecbep1-01,3531679.0
2025-01-12 20:15:30,cecbep1-01,3540076.0
2025-01-12 20:16:00,cecbep1-01,3528298.0
2025-01-12 20:16:30,cecbep1-01,3535207.0
2025-01-12 20:17:00,cecbep1-01,3569580.0
2025-01-12 20:17:30,cecbep1-01,3567786.0
2025-01-12 20:18:00,cecbep1-01,3571930.0
2025-01-12 20:18:30,cecbep1-01,3565101.0
2025-01-12 20:19:00,cecbep1-01,3520067.0
2025-01-12 20:19:30,cecbep1-01,3481738.0
2025-01-12 20:20:00,cecbep1-01,3495366.0
2025-01-12 20:20:30,cecbep1-01,3430203.0
2025-01-12 20:21:00,cecbep1-01,3478067.0
2025-01-12 20:21:30,cecbep1-01,3507097.0
2025-01-12 20:22:00,cecbep1-01,3510446.0
2025-01-12 20:22:30,cecbep1-01,3449597.0
2025-01-12 20:23:00,cecbep1-01,3504198.0
2025-01-12 20:23:30,cecbep1-01,3487005.0
2025-01-12 20:24:00,cecbep1-01,3505471.0
2025-01-12 20:24:30,cecbep1-01,3482534.0
2025-01-12 20:25:00,cecbep1-01,3531052.0
2025-01-12 20:25:30,cecbep1-01,3500823.0
2025-01-12 20:26:00,cecbep1-01,3576584.0
2025-01-12 20:26:30,cecbep1-01,3510063.0
2025-01-12 20:27:00,cecbep1-01,3524771.0
2025-01-12 20:27:30,cecbep1-01,3545758.0
2025-01-12 20:28:00,cecbep1-01,3512688.0
2025-01-12 20:28:30,cecbep1-01,3540085.0
2025-01-12 20:29:00,cecbep1-01,3505374.0
2025-01-12 20:29:30,cecbep1-01,3582296.0
2025-01-12 20:30:00,cecbep1-01,3113777.0
2025-01-12 20:30:30,cecbep1-01,3097262.0
2025-01-12 20:31:00,cecbep1-01,3094284.0
2025-01-12 20:31:30,cecbep1-01,3061406.0
2025-01-12 20:32:00,cecbep1-01,3086609.0
2025-01-12 20:32:30,cecbep1-01,3079144.0
2025-01-12 20:33:00,cecbep1-01,3050018.0
2025-01-12 20:33:30,cecbep1-01,3048228.0
2025-01-12 20:34:00,cecbep1-01,3082579.0
2025-01-12 20:34:30,cecbep1-01,3052006.0
2025-01-12 20:35:00,cecbep1-01,3078261.0
2025-01-12 20:35:30,cecbep1-01,3063107.0
2025-01-12 20:36:00,cecbep1-01,3105831.0
2025-01-12 20:36:30,cecbep1-01,3037365.0
2025-01-12 20:37:00,cecbep1-01,3002859.0
2025-01-12 20:37:30,cecbep1-01,3028211.0
2025-01-12 20:38:00,cecbep1-01,3061903.0
2025-01-12 20:38:30,cecbep1-01,3053997.0
2025-01-12 20:39:00,cecbep1-01,3056922.0
2025-01-12 20:39:30,cecbep1-01,3075648.0
2025-01-12 20:40:00,cecbep1-01,2719067.0
2025-01-12 20:40:30,cecbep1-01,3060361.0
2025-01-12 20:41:00,cecbep1-01,3055414.0
2025-01-12 20:41:30,cecbep1-01,3050757.0
2025-01-12 20:42:00,cecbep1-01,3093902.0
2025-01-12 20:42:30,cecbep1-01,3014068.0
2025-01-12 20:43:00,cecbep1-01,3058123.0
2025-01-12 20:43:30,cecbep1-01,3074899.0
