time,server,avg-resp-time-hit,avg-resp-time-hit-https,avg-resp-time-miss,avg-resp-time-miss-https
2025-01-12 20:00:00,cecbep1-01,4.0,40.0,34.0,4.0
2025-01-12 20:00:00,cecbep1-03,5.0,76.0,28.0,4.0
2025-01-12 20:00:00,cecbep1-04,4.0,39.0,36.0,4.0
2025-01-12 20:00:00,cecbep1-07,4.0,36.0,30.0,4.0
2025-01-12 20:00:00,cecmaz1-06,4.0,27.0,22.0,4.0
2025-01-12 20:00:00,cecmaz1-08,4.0,27.0,22.0,4.0
2025-01-12 20:00:00,cecmsm1-04,4.0,24.0,20.0,4.0
2025-01-12 20:00:00,cefsbin3-01,5.0,36.0,37.0,5.0
2025-01-12 20:00:00,ceihta1-01,7.0,22.0,28.0,6.0
2025-01-12 20:00:00,ceihta1-02,5.0,29.0,41.0,6.0
2025-01-12 20:00:00,ceihta1-04,5.0,34.0,23.0,19.0
2025-01-12 20:00:00,ceihta1-06,5.0,37.0,18.0,5.0
2025-01-12 20:00:00,ceihta1-07,5.0,23.0,29.0,6.0
2025-01-12 20:00:00,ceihta1-08,5.0,36.0,30.0,6.0
2025-01-12 20:00:00,ceihta1-09,6.0,28.0,30.0,5.0
2025-01-12 20:00:00,ceihta1-10,5.0,22.0,30.0,6.0
2025-01-12 20:00:00,ceihta1-11,5.0,36.0,35.0,6.0
2025-01-12 20:00:00,ceihta1-15,5.0,26.0,23.0,7.0
2025-01-12 20:00:00,ceihta1-16,5.0,32.0,30.0,6.0
2025-01-12 20:00:00,ceihta1-17,7.0,33.0,50.0,5.0
2025-01-12 20:00:00,ceimno1-02,6.0,41.0,56.0,7.0
2025-01-12 20:00:00,ceimno1-05,5.0,45.0,79.0,8.0
2025-01-12 20:00:00,ceimno1-07,7.0,29.0,16.0,5.0
2025-01-12 20:00:00,ceimno1-08,5.0,44.0,28.0,7.0
2025-01-12 20:00:00,ceimno1-10,11.0,511.0,265.0,27.0
2025-01-12 20:00:00,ceimno1-17,7.0,26.0,38.0,6.0
2025-01-12 20:00:00,ceimpe1-01,7.0,46.0,30.0,9.0
2025-01-12 20:00:00,ceimpe1-09,16.0,620.0,74.0,35.0
2025-01-12 20:00:00,ceimpe1-11,9.0,235.0,637.0,36.0
2025-01-12 20:00:00,ceimpe1-13,7.0,214.0,106.0,13.0
2025-01-12 20:00:00,ceimsm1-01,3.0,12.0,11.0,3.0
2025-01-12 20:00:00,ceimsm1-02,3.0,16.0,11.0,3.0
2025-01-12 20:00:00,ceimsm1-04,3.0,14.0,10.0,3.0
2025-01-12 20:00:00,ceimsm1-13,5.0,18.0,20.0,6.0
2025-01-12 20:00:00,ceimsm1-14,5.0,17.0,13.0,5.0
2025-01-12 20:00:00,ceimsm1-15,5.0,31.0,14.0,6.0
2025-01-12 20:00:00,ceimsm1-16,6.0,22.0,15.0,6.0
2025-01-12 20:00:00,ceimsm1-18,5.0,18.0,13.0,5.0
2025-01-12 20:00:00,codmno1-05,4.0,24.0,27.0,4.0
2025-01-12 20:00:05,cecbep1-02,4.0,41.0,28.0,4.0
2025-01-12 20:00:05,cecbep1-08,4.0,36.0,34.0,6.0
2025-01-12 20:00:05,cecmaz1-05,4.0,26.0,21.0,3.0
2025-01-12 20:00:05,cecmaz1-07,4.0,26.0,20.0,4.0
2025-01-12 20:00:05,cecmsm1-02,4.0,31.0,24.0,4.0
2025-01-12 20:00:05,cecmsm1-06,4.0,29.0,27.0,4.0
2025-01-12 20:00:05,cefsbin3-03,5.0,42.0,36.0,5.0
2025-01-12 20:00:05,cefsbin3-04,4.0,35.0,35.0,4.0
2025-01-12 20:00:05,cefsbin3-06,4.0,43.0,32.0,4.0
2025-01-12 20:00:05,ceihta1-12,4.0,34.0,35.0,5.0
2025-01-12 20:00:05,ceihta1-14,5.0,31.0,22.0,6.0
2025-01-12 20:00:05,ceihta1-19,4.0,30.0,20.0,5.0
2025-01-12 20:00:05,ceihta1-20,4.0,33.0,35.0,5.0
2025-01-12 20:00:05,ceimno1-01,7.0,54.0,53.0,10.0
