time,server,avg_rt_live_dash,avg_rt_cached_live_dash,avg_rt_nocached_live_dash,avg_rt_live_hls,avg_rt_cached_live_hls,avg_rt_nocached_live_hls,avg_rt_live_smooth,avg_rt_cached_live_smooth,avg_rt_nocached_live_smooth,avg_rt_vod_dash,avg_rt_cached_vod_dash,avg_rt_nocached_vod_dash,avg_rt_vod_hls,avg_rt_cached_vod_hls,avg_rt_nocached_vod_hls,avg_rt_vod_http,avg_rt_cached_vod_http,avg_rt_nocached_vod_http,avg_rt_vod_iplus,avg_rt_cached_vod_iplus,avg_rt_nocached_vod_iplus,avg_rt_vod_smooth,avg_rt_cached_vod_smooth,avg_rt_nocached_vod_smooth,avg_rt_vod_unknown,avg_rt_cached_vod_unknown,avg_rt_nocached_vod_unknown,avg_rt_live_unknown,avg_rt_cached_live_unknown,avg_rt_nocached_live_unknown
2025-01-12 20:00:00,cecbep1-01,9.5,7.8,51.9,9.67,6.44,54.9,12.4,5.3,30.7,24.3,9.02,123.0,54.0,33.6,89.6,,,,,,,69.4,6.53,85.9,0.0,6.77,4.57,,,
2025-01-12 20:00:00,cecbep1-02,13.9,8.49,105.0,9.02,6.41,51.1,17.2,5.38,51.2,29.7,9.98,118.0,58.3,30.0,94.0,,,,,,,42.9,6.07,41.7,0.0,7.22,3.39,,,
2025-01-12 20:00:00,cecbep1-03,10.5,8.23,66.3,9.82,6.64,48.8,17.7,5.2,49.2,27.6,9.25,112.0,57.7,34.6,89.1,,,,,,,32.8,7.5,46.0,0.0,8.1,3.1,,,
2025-01-12 20:00:00,cecbep1-04,10.1,8.26,58.6,8.75,6.57,53.2,10.3,5.3,48.7,32.8,9.43,129.0,39.3,20.5,85.8,,,,,,,48.5,6.15,63.0,0.0,5.83,3.46,,,
2025-01-12 20:00:00,cecbep1-05,11.9,8.21,106.0,9.28,6.62,51.8,11.9,5.42,41.6,27.8,9.86,119.0,59.9,36.5,88.7,,,,,,,21.2,6.07,42.8,0.0,5.65,3.78,,,
2025-01-12 20:00:00,cecbep1-06,12.4,7.89,101.0,8.48,6.43,47.8,16.5,5.36,47.2,38.7,15.9,130.0,65.6,32.0,108.0,,,,,,,25.7,5.67,46.5,0.0,6.12,4.25,,,
2025-01-12 20:00:00,cecbep1-07,9.92,7.87,55.5,7.1,6.36,34.4,7.08,5.16,48.1,24.7,10.8,140.0,44.4,24.1,71.7,,,,,,,35.1,6.09,39.4,0.0,7.34,2.4,,,
2025-01-12 20:00:00,cecbep1-08,11.1,8.91,52.3,9.41,7.26,56.7,10.6,5.95,38.9,60.5,56.8,101.0,58.7,28.9,88.5,,,,,,,33.9,6.8,56.4,0.0,7.46,4.2,,,
2025-01-12 20:00:00,cecmaz1-01,8.48,7.65,27.6,8.72,6.34,62.0,8.31,5.22,16.4,19.7,9.69,61.9,38.6,23.5,56.9,,,,,,,15.0,5.52,27.3,1522.0,5.31,2.58,,,
2025-01-12 20:00:00,cecmaz1-02,9.24,8.76,22.2,16.6,8.7,184.0,6.37,5.42,19.1,37.8,32.0,63.9,39.9,22.0,53.2,,,,,,,21.2,5.99,32.2,0.0,5.56,3.41,,,
2025-01-12 20:00:00,cecmaz1-03,7.82,7.19,46.1,8.31,5.97,35.5,9.9,5.03,19.5,22.4,8.89,62.8,22.3,10.9,39.8,,,,,,,16.8,5.12,26.6,0.0,5.24,2.41,,,
2025-01-12 20:00:00,cecmaz1-04,17.9,10.2,113.0,9.44,6.84,22.2,14.3,4.95,26.6,8.64,7.29,54.6,52.4,32.9,58.1,,,,,,,18.8,6.46,57.7,0.0,9.29,3.97,,,
2025-01-12 20:00:00,cecmaz1-05,8.55,7.28,42.8,6.45,6.05,20.7,7.91,4.92,13.3,14.6,8.5,55.1,44.8,27.8,65.9,,,,,,,20.6,5.21,38.7,0.0,5.11,2.5,,,
2025-01-12 20:00:00,cecmaz1-06,9.35,8.36,37.1,7.64,6.82,26.5,5.96,5.0,16.6,8.78,7.42,66.4,42.3,22.2,53.0,,,,,,,15.4,5.5,25.8,0.0,5.4,2.96,,,
2025-01-12 20:00:00,cecmaz1-07,10.1,7.67,68.4,9.54,6.24,55.4,8.42,5.0,20.0,24.5,9.48,60.7,38.1,15.3,62.5,,,,,,,22.9,5.06,33.0,0.0,5.17,2.78,,,
2025-01-12 20:00:00,cecmaz1-08,8.16,7.58,23.3,9.0,6.32,59.2,8.18,5.14,16.6,16.1,8.66,69.4,35.0,20.8,52.6,,,,,,,14.5,5.64,24.0,0.0,5.18,2.46,,,
2025-01-12 20:00:00,cecmsm1-01,11.4,8.59,103.0,11.8,8.3,50.5,5.93,5.09,25.7,31.0,15.1,68.6,30.6,16.6,36.5,,,,,,,24.6,5.47,28.9,1.0,5.28,2.91,,,
2025-01-12 20:00:00,cecmsm1-02,13.0,10.3,135.0,9.19,7.8,40.0,8.38,5.96,23.5,44.6,39.1,71.5,41.1,16.2,62.4,,,,,,,19.3,6.42,34.0,0.0,6.04,3.23,,,
2025-01-12 20:00:00,cecmsm1-03,13.3,8.13,216.0,7.07,6.42,27.2,8.4,5.15,22.4,20.7,9.49,63.3,36.5,15.9,57.2,,,,,,,21.8,5.38,31.0,0.0,5.22,2.42,,,
2025-01-12 20:00:00,cecmsm1-04,11.4,8.32,114.0,7.68,6.68,23.7,7.83,5.18,22.7,13.5,8.38,57.0,41.2,15.3,62.9,,,,,,,17.0,5.61,25.9,0.0,5.02,2.93,,,
2025-01-12 20:00:00,cecmsm1-05,12.5,9.41,139.0,7.9,7.47,28.4,8.67,5.68,26.6,21.3,11.5,74.9,41.8,14.6,63.5,,,,,,,15.5,6.07,36.6,0.0,6.06,2.39,,,
2025-01-12 20:00:00,cecmsm1-06,14.2,9.81,156.0,8.29,7.33,33.1,6.29,5.45,27.8,10.9,8.22,75.1,49.3,30.6,67.5,,,,,,,27.0,6.12,44.3,0.0,5.68,3.69,,,
2025-01-12 20:00:00,cecmsm1-07,12.6,8.59,56.1,8.55,6.76,22.7,11.9,5.24,33.3,10.1,7.53,59.3,31.1,8.05,46.9,,,,,,,25.0,6.33,64.7,0.0,8.82,4.64,,,
2025-01-12 20:00:00,cecmsm1-08,10.1,8.9,49.7,11.7,6.8,55.8,10.1,5.06,23.9,10.7,7.78,61.4,34.0,14.2,55.9,,,,,,,17.2,6.2,62.7,0.0,11.7,4.67,,,
2025-01-12 20:00:00,cefsbin3-01,13.6,11.8,60.5,13.6,8.81,44.4,13.0,6.48,64.9,45.3,13.1,127.0,75.4,45.9,90.2,,,,,,,61.7,7.47,128.0,0.0,8.85,7.24,,,
2025-01-12 20:00:00,cefsbin3-02,12.1,10.4,71.3,12.7,7.74,52.3,14.3,5.8,47.1,45.7,13.3,154.0,63.7,37.0,89.0,,,,,,,31.5,6.57,36.1,0.0,6.88,3.85,,,
2025-01-12 20:00:00,cefsbin3-03,23.2,13.5,272.0,21.2,10.5,66.0,8.59,6.6,47.4,54.0,17.2,156.0,78.1,38.1,99.1,,,,,,,90.0,8.35,74.0,0.0,7.49,4.75,,,
2025-01-12 20:00:00,cefsbin3-04,15.0,10.9,129.0,20.7,9.34,53.5,15.8,5.9,63.7,56.8,8.73,161.0,88.2,15.1,89.3,,,,,,,84.1,5.4,96.2,0.0,6.61,9.85,,,
2025-01-12 20:00:00,cefsbin3-05,9.34,7.76,57.5,33.6,5.97,226.0,7.41,4.89,50.4,35.0,12.3,133.0,61.8,40.3,86.6,,,,,,,64.6,6.29,48.7,0.0,6.2,3.86,,,
2025-01-12 20:00:00,cefsbin3-06,14.1,8.35,169.0,24.5,11.7,122.0,16.2,5.29,48.1,193.0,210.0,137.0,60.5,27.2,88.9,,,,,,,35.2,6.11,42.6,0.0,6.09,3.32,,,
2025-01-12 20:00:00,ceihta1-01,12.4,8.98,23.5,8.23,7.46,11.6,8.81,5.4,12.0,30.1,11.1,77.7,43.2,33.4,57.7,,,,,,,18.1,6.39,43.7,0.0,8.57,1.98,,,
2025-01-12 20:00:00,ceihta1-02,10.8,9.85,21.8,10.9,7.95,27.8,12.9,0.0,12.9,30.0,15.8,101.0,42.4,34.4,52.9,,,,,,,15.9,6.5,33.7,0.0,12.7,2.23,,,
2025-01-12 20:00:00,ceihta1-03,11.8,9.98,21.2,8.68,6.89,21.1,9.73,5.8,12.9,29.9,12.6,76.3,47.3,36.1,67.2,,,,,,,18.7,6.38,41.9,0.0,9.34,2.82,,,
2025-01-12 20:00:00,ceihta1-04,22.1,9.56,92.8,22.2,9.3,32.8,8.13,6.95,27.7,353.0,411.0,105.0,46.4,34.6,75.9,,,,,,,21.7,7.93,39.5,0.0,12.3,2.46,,,
2025-01-12 20:00:00,ceihta1-05,36.8,21.7,89.7,27.9,17.6,147.0,0.0,0.0,85.0,27.5,21.0,529.0,130.0,95.1,159.0,,,,,,,97.5,23.5,138.0,0.0,22.2,254.0,,,
2025-01-12 20:00:00,ceihta1-06,26.7,9.36,120.0,10.6,7.2,14.0,12.5,0.0,12.5,33.1,11.1,95.6,60.7,45.8,92.5,,,,,,,7.08,6.91,5.76,0.0,5.72,2.36,,,
2025-01-12 20:00:00,ceihta1-07,11.2,10.0,17.8,12.7,7.61,19.9,15.2,5.91,23.5,20.6,11.3,75.6,39.7,30.4,57.2,,,,,,,10.4,7.23,37.9,0.0,10.6,2.19,,,
2025-01-12 20:00:00,ceihta1-08,12.2,10.1,22.7,8.77,7.14,15.1,11.0,5.75,13.5,24.4,11.5,106.0,39.6,30.8,66.0,,,,,,,25.1,7.58,55.2,0.0,9.74,1.95,,,
2025-01-12 20:00:00,ceihta1-09,13.4,10.3,30.6,9.39,8.1,11.7,11.5,0.0,11.5,14.8,10.9,74.4,46.5,34.0,69.3,,,,,,,20.8,6.83,42.0,0.0,11.5,3.56,,,
2025-01-12 20:00:00,ceihta1-10,15.4,9.68,51.3,11.4,7.39,21.2,7.36,5.72,12.1,29.1,12.0,77.9,42.8,32.9,53.1,,,,,,,15.5,6.84,43.0,0.0,9.46,2.05,,,
