time,server,concount,cpuglobal,cpuwait,inbytesps,loadlevel,outbytesps
2025-01-12 20:00:00,cecbep1-01,8.0,10.0,0.0,4.0,0.0,14.0
2025-01-12 20:00:00,cecbep1-02,9.0,11.0,0.0,7.0,0.0,17.0
2025-01-12 20:00:00,cecbep1-03,14.0,16.0,0.0,7.0,0.0,22.0
2025-01-12 20:00:00,cecbep1-04,15.0,20.0,0.0,13.0,0.0,26.0
2025-01-12 20:00:00,cecbep1-05,13.0,15.0,0.0,9.0,0.0,21.0
2025-01-12 20:00:00,cecbep1-06,11.0,14.0,0.0,11.0,0.0,21.0
2025-01-12 20:00:00,cecbep1-07,12.0,14.0,0.0,7.0,0.0,21.0
2025-01-12 20:00:00,cecbep1-08,18.0,22.0,0.0,13.0,0.0,39.0
2025-01-12 20:00:00,cecmaz1-01,28.0,21.0,0.0,14.0,0.0,33.0
2025-01-12 20:00:00,cecmaz1-02,52.0,38.0,0.0,37.0,0.0,62.0
2025-01-12 20:00:00,cecmaz1-03,16.0,14.0,0.0,14.0,0.0,23.0
2025-01-12 20:00:00,cecmaz1-04,53.0,30.0,0.0,19.0,0.0,73.0
2025-01-12 20:00:00,cecmaz1-05,26.0,21.0,0.0,16.0,0.0,34.0
2025-01-12 20:00:00,cecmaz1-06,67.0,47.0,0.0,22.0,0.0,92.0
2025-01-12 20:00:00,cecmaz1-07,21.0,18.0,0.0,24.0,0.0,31.0
2025-01-12 20:00:00,cecmaz1-08,26.0,24.0,0.0,20.0,0.0,40.0
2025-01-12 20:00:00,cecmsm1-01,46.0,41.0,0.0,33.0,0.0,70.0
2025-01-12 20:00:00,cecmsm1-02,55.0,54.0,0.0,31.0,0.0,89.0
2025-01-12 20:00:00,cecmsm1-03,32.0,29.0,0.0,17.0,0.0,47.0
2025-01-12 20:00:00,cecmsm1-04,52.0,36.0,0.0,21.0,0.0,61.0
2025-01-12 20:00:00,cecmsm1-05,54.0,55.0,0.0,30.0,0.0,89.0
2025-01-12 20:00:00,cecmsm1-06,69.0,56.0,0.0,23.0,0.0,90.0
2025-01-12 20:00:00,cecmsm1-07,49.0,34.0,0.0,28.0,0.0,74.0
2025-01-12 20:00:00,cecmsm1-08,50.0,37.0,0.0,24.0,0.0,80.0
2025-01-12 20:00:00,cefsbin3-01,26.0,71.0,0.0,44.0,0.0,60.0
2025-01-12 20:00:00,cefsbin3-02,22.0,55.0,0.0,28.0,0.0,46.0
2025-01-12 20:00:00,cefsbin3-03,29.0,82.0,0.0,52.0,0.0,66.0
2025-01-12 20:00:00,cefsbin3-04,24.0,74.0,2.0,67.0,0.0,49.0
2025-01-12 20:00:00,cefsbin3-05,10.0,10.0,0.0,11.0,0.0,17.0
2025-01-12 20:00:00,cefsbin3-06,17.0,18.0,0.0,23.0,0.0,28.0
2025-01-12 20:00:00,ceihta1-01,3.0,12.0,0.0,9.0,0.0,6.0
2025-01-12 20:00:00,ceihta1-02,7.0,30.0,0.0,20.0,0.0,19.0
2025-01-12 20:00:00,ceihta1-03,6.0,23.0,0.0,12.0,0.0,12.0
2025-01-12 20:00:00,ceihta1-04,10.0,34.0,0.0,22.0,0.0,20.0
2025-01-12 20:00:00,ceihta1-05,56.0,95.0,0.0,16.0,0.0,76.0
2025-01-12 20:00:00,ceihta1-06,6.0,15.0,0.0,8.0,0.0,7.0
2025-01-12 20:00:00,ceihta1-07,5.0,18.0,0.0,9.0,0.0,13.0
2025-01-12 20:00:00,ceihta1-08,7.0,28.0,0.0,16.0,0.0,17.0
2025-01-12 20:00:00,ceihta1-09,9.0,31.0,0.0,13.0,0.0,22.0
2025-01-12 20:00:00,ceihta1-10,4.0,17.0,0.0,11.0,0.0,9.0
