time,server,saturation_status,saturation_status_value
2025-01-12 20:00:00,ce8bep1-01,Active,24.0
2025-01-12 20:00:30,ce8bep1-01,Active,24.0
2025-01-12 20:01:00,ce8bep1-01,Active,24.0
2025-01-12 20:01:30,ce8bep1-01,Active,24.0
2025-01-12 20:02:00,ce8bep1-01,Active,24.0
2025-01-12 20:02:30,ce8bep1-01,Active,23.0
2025-01-12 20:03:00,ce8bep1-01,Active,21.0
2025-01-12 20:03:30,ce8bep1-01,Active,23.0
2025-01-12 20:04:00,ce8bep1-01,Active,22.0
2025-01-12 20:04:30,ce8bep1-01,Active,24.0
2025-01-12 20:05:00,ce8bep1-01,Active,24.0
2025-01-12 20:05:30,ce8bep1-01,Active,24.0
2025-01-12 20:06:00,ce8bep1-01,Active,24.0
2025-01-12 20:06:30,ce8bep1-01,Active,24.0
2025-01-12 20:07:00,ce8bep1-01,Active,24.0
2025-01-12 20:07:30,ce8bep1-01,Active,23.0
2025-01-12 20:08:00,ce8bep1-01,Active,23.0
2025-01-12 20:08:30,ce8bep1-01,Active,24.0
2025-01-12 20:09:00,ce8bep1-01,Active,23.0
2025-01-12 20:09:30,ce8bep1-01,Active,24.0
2025-01-12 20:10:00,ce8bep1-01,Active,24.0
2025-01-12 20:10:30,ce8bep1-01,Active,24.0
2025-01-12 20:11:00,ce8bep1-01,Active,24.0
2025-01-12 20:11:30,ce8bep1-01,Active,24.0
2025-01-12 20:12:00,ce8bep1-01,Active,24.0
2025-01-12 20:12:30,ce8bep1-01,Active,24.0
2025-01-12 20:13:00,ce8bep1-01,Active,24.0
2025-01-12 20:13:30,ce8bep1-01,Active,24.0
2025-01-12 20:14:00,ce8bep1-01,Active,24.0
2025-01-12 20:14:30,ce8bep1-01,Active,24.0
2025-01-12 20:15:00,ce8bep1-01,Active,24.0
2025-01-12 20:15:30,ce8bep1-01,Active,24.0
2025-01-12 20:16:00,ce8bep1-01,Active,24.0
2025-01-12 20:16:30,ce8bep1-01,Active,24.0
2025-01-12 20:17:00,ce8bep1-01,Active,24.0
2025-01-12 20:17:30,ce8bep1-01,Active,24.0
2025-01-12 20:18:00,ce8bep1-01,Active,24.0
2025-01-12 20:18:30,ce8bep1-01,Active,24.0
2025-01-12 20:19:00,ce8bep1-01,Active,24.0
2025-01-12 20:19:30,ce8bep1-01,Active,24.0
2025-01-12 20:20:00,ce8bep1-01,Active,24.0
2025-01-12 20:20:30,ce8bep1-01,Active,24.0
2025-01-12 20:21:00,ce8bep1-01,Active,24.0
2025-01-12 20:21:30,ce8bep1-01,Active,24.0
2025-01-12 20:22:00,ce8bep1-01,Active,24.0
2025-01-12 20:22:30,ce8bep1-01,Active,24.0
2025-01-12 20:23:00,ce8bep1-01,Active,24.0
2025-01-12 20:23:30,ce8bep1-01,Active,24.0
2025-01-12 20:24:00,ce8bep1-01,Active,24.0
2025-01-12 20:24:30,ce8bep1-01,Active,24.0
2025-01-12 20:25:00,ce8bep1-01,Active,24.0
2025-01-12 20:25:30,ce8bep1-01,Active,24.0
2025-01-12 20:26:00,ce8bep1-01,Active,24.0
2025-01-12 20:26:30,ce8bep1-01,Active,24.0
2025-01-12 20:27:00,ce8bep1-01,Active,24.0
2025-01-12 20:27:30,ce8bep1-01,Active,24.0
2025-01-12 20:28:00,ce8bep1-01,Active,24.0
2025-01-12 20:28:30,ce8bep1-01,Active,24.0
2025-01-12 20:29:00,ce8bep1-01,Active,24.0
